UZgenMPN,LCSC Part Number
UZgen_C_0402_100nF_50V_X7R,C131394
UZgen_C_0603_100nF_50V_X7R,C14663
UZgen_C_0603_100pF_50V_X7R,C160903
UZgen_C_0603_2.2nF_50V_X7R,C107082
UZgen_C_0603_10nF_50V_X7R,C100042
UZgen_C_0603_1uF_16V_X7R,C2169902
UZgen_C_0603_4.7uF_16V_X5R,C19666
UZgen_C_1206_10uF_50V_X7R,C89632
UZgen_C_1210_10uF_50V_X7R,C77102
UZgen_C_1210_22uF_25V_X7R,C424136
UZgen_R_0603_0R,C100044
UZgen_R_0603_33R,C108661
UZgen_R_0603_100R,C105588
UZgen_R_0603_200R,C114664
UZgen_R_0603_470R,C114669
UZgen_R_0603_1k2,C22765
UZgen_R_0603_2k,C105576
UZgen_R_0603_2k2,C114662
UZgen_R_0603_2k7,C13167
UZgen_R_0603_4k7,C23162
UZgen_R_0603_10k,C98220
UZgen_R_0603_12k,C114659
UZgen_R_0603_16k5,C273769
UZgen_R_0603_20k,C4184
UZgen_R_0603_23k2,C185348
UZgen_R_0603_47k,C105579
UZgen_R_0603_100k,C14675
UZgen_LED_0603_Green,C125101
UZgen_Conn_PinHead_2x06_SMD_100mil_90deg_mirrored12triangle02,C5160780
UZgen_Conn_PinHead_2x06_SMD_100mil_90deg,C5160780
UZgen_Conn_PinHead_2x05_SMD_100mil_90deg,C5160779
