Altium Designer Pick and Place Locations
C:\Users\ga92wum\git\UltraZohm\PCB\uz_per_rtc_mac\Project Outputs for UZ_per_cb_upgrade\Rev01\Pick Place\Pick Place for UZ_per_cb_upgrade(Default).csv

========================================================================================================================
File Design Information:

Date:       19.04.22
Time:       16:12
Revision:   f50fefb207309891b717624ac0176f11531fbb4e
Variant:    Default
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"X4","61300811121","25.4000","25.4000","32.1100","32.1100","25.4000","23.2200","90","61300811121","TopLayer"
"X3","61300811121","9.9000","9.9000","32.1100","32.1100","9.9000","41.0000","270","61300811121","TopLayer"
"C8","C_0603(1608)100_L","11.2000","11.2000","58.1000","58.1000","11.9000","58.1000","180","100nF","TopLayer"
"C7","C_0603(1608)100_L","29.1000","29.1000","63.7000","63.7000","29.1000","64.4000","270","100nF","TopLayer"
"C9","C_0603(1608)100_L","21.8000","21.8000","31.2000","31.2000","21.1000","31.2000","360","100nF","TopLayer"
"C10B","C_0603(1608)100_L","30.2000","30.2000","56.0000","56.0000","30.2000","56.7000","270","100nF","TopLayer"
"C10A","C_0603(1608)100_L","30.2000","30.2000","47.5000","47.5000","30.2000","48.2000","270","100nF","TopLayer"
"C6","C_0603(1608)100_L","6.2000","6.2000","67.5000","67.5000","6.9000","67.5000","180","10pF","TopLayer"
"C5","C_0603(1608)100_L","6.2000","6.2000","69.9000","69.9000","6.9000","69.9000","180","10pF","TopLayer"
"C2","C_0603(1608)100_L","17.2500","17.2500","16.4000","16.4000","16.5500","16.4000","360","100nF","TopLayer"
"C1","C_0603(1608)100_L","17.2500","17.2500","15.2500","15.2500","16.5500","15.2500","360","100nF","TopLayer"
"C3","C_1206","17.3000","17.3000","11.2000","11.2000","18.7500","11.2000","360","10µF","TopLayer"
"C4","C_1206","17.3000","17.3000","13.5000","13.5000","18.7500","13.5000","360","10µF","TopLayer"
"D4","DIOD-SOD123-2_V","25.2000","25.2000","70.4250","70.4250","25.2000","72.0000","270","1N4148W-7-F","TopLayer"
"Y1","FP-ABS07-MFG","9.1000","9.1000","68.7000","68.7000","9.1000","69.9500","270","ABS07-32.768KHz-T","TopLayer"
"U2","FP-C04-057-SN-MFG","8.7000","8.7000","54.6000","54.6000","6.0000","56.5050","0","AT24C02C-SSHM-T","TopLayer"
"SW1","FP-EVQ-Q2F03W-MFG","41.3000","41.3000","55.6000","55.6000","37.9000","57.6000","360","EVQ-Q2F03W","TopLayer"
"SW2","FP-EVQ-Q2F03W-MFG","41.3000","41.3000","62.0000","62.0000","37.9000","64.0000","360","EVQ-Q2F03W","TopLayer"
"BT1","FP-S8421-45R-MFG","14.0000","16.2000","84.6000","84.6000","5.5000","84.6000","90","S8421-45R","TopLayer"
"U1","FP-SOT96-1-IPC_B","15.2000","15.2000","66.8000","66.8000","12.6991","68.7050","360","PCF8563T/5,518","TopLayer"
"SW4","LIBRARYSOURCE=Vault|VAULTGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7|REVISIONGUID=78265BFD-28B4-4691-854C-CD580AC3518C|FOOTPRINT=FP-EVQ-Q2F03W-MFG","41.3000","41.3000","75.0000","75.0000","37.9000","77.0000","360","EVQ-Q2F03W","TopLayer"
"SW3","LIBRARYSOURCE=Vault|VAULTGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7|REVISIONGUID=78265BFD-28B4-4691-854C-CD580AC3518C|FOOTPRINT=FP-EVQ-Q2F03W-MFG","41.3000","41.3000","68.5000","68.5000","37.9000","70.5000","360","EVQ-Q2F03W","TopLayer"
"U4B","MCHP-SOIC-SN8_L","25.9000","25.9000","54.5000","54.5000","23.5250","56.4050","360","24AA025E48T-I/SN","TopLayer"
"U4A","MCHP-SOIC-SN8_L","25.9000","25.9000","46.0000","46.0000","23.5250","47.9050","360","24AA025E48T-I/SN","TopLayer"
"D2","NXP-SOT23-3_V","28.1000","28.1000","68.8500","68.8500","29.1000","67.9000","270","BAT54C","TopLayer"
"R60","R_0603_N","36.0000","36.0000","36.1000","36.1000","35.2000","36.1000","360","0R","TopLayer"
"R59","R_0603_N","35.6000","35.6000","22.2000","22.2000","34.8000","22.2000","360","0R","TopLayer"
"R24","R_0603_N","18.6000","18.6000","20.7000","20.7000","17.8000","20.7000","360","0R","TopLayer"
"R50","R_0603_N","28.2000","28.2000","41.0000","41.0000","29.0000","41.0000","180","10k","TopLayer"
"R48","R_0603_N","28.2000","28.2000","38.4600","38.4600","29.0000","38.4600","180","10k","TopLayer"
"R46","R_0603_N","28.2000","28.2000","35.9200","35.9200","29.0000","35.9200","180","10k","TopLayer"
"R44","R_0603_N","28.2000","28.2000","33.3800","33.3800","29.0000","33.3800","180","10k","TopLayer"
"R42","R_0603_N","28.2000","28.2000","30.8400","30.8400","29.0000","30.8400","180","10k","TopLayer"
"R40","R_0603_N","28.2000","28.2000","28.3000","28.3000","29.0000","28.3000","180","10k","TopLayer"
"R38","R_0603_N","28.2000","28.2000","25.7600","25.7600","29.0000","25.7600","180","10k","TopLayer"
"R36","R_0603_N","28.2000","28.2000","23.2200","23.2200","29.0000","23.2200","180","10k","TopLayer"
"R14","R_0603_N","14.1000","14.1000","52.5000","52.5000","14.9000","52.5000","180","0R","TopLayer"
"R15","R_0603_N","1.0000","1.0000","53.4000","53.4000","1.0000","54.2000","270","0R","TopLayer"
"R13","R_0603_N","14.1000","14.1000","54.0000","54.0000","14.9000","54.0000","180","0R","TopLayer"
"R12","R_0603_N","14.1000","14.1000","55.5000","55.5000","13.3000","55.5000","360","0R","TopLayer"
"R10","R_0603_N","2.5000","2.5000","56.4000","56.4000","2.5000","57.2000","270","0R","TopLayer"
"R11","R_0603_N","4.0000","4.0000","56.4000","56.4000","4.0000","57.2000","270","0R","TopLayer"
"R25","R_0603_N","15.6770","15.6770","32.2730","32.2730","15.6770","33.0730","270","0R","TopLayer"
"R26","R_0603_N","17.5270","17.5270","32.2730","32.2730","17.5270","33.0730","270","0R","TopLayer"
"R27","R_0603_N","19.3770","19.3770","32.2730","32.2730","19.3770","33.0730","270","0R","TopLayer"
"R32","R_0603_N","5.4000","5.4000","28.3000","28.3000","4.6000","28.3000","0","680R","TopLayer"
"R33","R_0603_N","5.4000","5.4000","25.7600","25.7600","4.6000","25.7600","0","680R","TopLayer"
"R31","R_0603_N","5.4000","5.4000","30.8400","30.8400","4.6000","30.8400","0","680R","TopLayer"
"R34","R_0603_N","5.4000","5.4000","23.2200","23.2200","4.6000","23.2200","0","680R","TopLayer"
"R18","R_0603_N","5.4000","5.4000","41.0000","41.0000","4.6000","41.0000","0","680R","TopLayer"
"R22","R_0603_N","5.4000","5.4000","38.4600","38.4600","4.6000","38.4600","0","680R","TopLayer"
"R23","R_0603_N","5.4000","5.4000","35.9200","35.9201","4.6000","35.9201","0","680R","TopLayer"
"R28","R_0603_N","5.4000","5.4000","33.3800","33.3800","4.6000","33.3800","0","680R","TopLayer"
"R29","R_0603_N","32.6000","32.6000","32.0000","32.0000","33.4000","32.0000","180","0R","TopLayer"
"R30","R_0603_N","32.5000","32.5000","29.7000","29.7000","33.3000","29.7000","180","0R","TopLayer"
"R1","R_0603_N","19.8000","19.8000","61.1000","61.1000","20.6000","61.1000","180","2k","TopLayer"
"R2","R_0603_N","23.3000","23.3000","61.1000","61.1000","22.5000","61.1000","360","2k","TopLayer"
"R56B","R_0603_N","17.4000","17.4000","52.4000","52.4000","17.4000","53.2000","270","0R","TopLayer"
"R54B","R_0603_N","31.2000","31.2000","53.9000","53.9000","32.0000","53.9000","180","0R","TopLayer"
"R52B","R_0603_N","19.2500","19.2500","57.2000","57.2000","19.2500","58.0000","270","0R","TopLayer"
"R55B","R_0603_N","31.2000","31.2000","52.3000","52.3000","32.0000","52.3000","180","0R","TopLayer"
"R58B","R_0603_N","21.1000","21.1000","52.4000","52.4000","21.1000","53.2000","270","0R","TopLayer"
"R57A","R_0603_N","19.2500","19.2500","43.9000","43.9000","19.2500","44.7000","270","0R","TopLayer"
"R54A","R_0603_N","31.2000","31.2000","45.4000","45.4000","32.0000","45.4000","180","0R","TopLayer"
"R56A","R_0603_N","17.4000","17.4000","43.9000","43.9000","17.4000","44.7000","270","0R","TopLayer"
"R55A","R_0603_N","31.2000","31.2000","43.8000","43.8000","32.0000","43.8000","180","0R","TopLayer"
"R58A","R_0603_N","21.1000","21.1000","43.9000","43.9000","21.1000","44.7000","270","0R","TopLayer"
"R7","R_0603_N","20.6000","20.6000","63.9000","63.9000","20.6000","63.1000","90","0R","TopLayer"
"R6","R_0603_N","22.5000","22.5000","63.9000","63.9000","22.5000","63.1000","90","0R","TopLayer"
"R5","R_0603_N","21.7000","21.7000","68.7000","68.7000","20.9000","68.7000","360","0R","TopLayer"
"R3","R_0603_N","16.3000","16.3000","8.4000","8.4000","16.3000","9.2000","270","680R","TopLayer"
