Altium Designer Pick and Place Locations
C:\Users\ga92wum\git\UltraZohm\PCB\uz_per_rtc_mac\Project Outputs for UZ_per_cb_upgrade\Rev02\Pick Place\Pick Place for UZ_per_cb_upgrade(Default).csv

========================================================================================================================
File Design Information:

Date:       27.12.22
Time:       23:34
Revision:   eb15a8f5417fbda3c4bf88fb0245027cb56394b4
Variant:    Default
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"J4","2199230-3","66.2500","66.2500","17.0000","17.0000","57.0000","13.2250","0","M.2 NGFF Key B Platform Side","BottomLayer"
"J3","2199230-3","40.0000","40.0000","9.5000","9.5000","30.7500","5.7250","0","M.2 NGFF Key B Platform Side","BottomLayer"
"C9","C_0603(1608)100_L","24.5000","24.5000","56.5000","56.5000","23.8000","56.5000","0","100nF","TopLayer"
"C38","C_0603(1608)100_L","70.0000","70.0000","5.3000","5.3000","69.3000","5.3000","0","100nF","BottomLayer"
"C37","C_0603(1608)100_L","69.6500","69.6500","7.4000","7.4000","69.6500","8.1000","270","100nF","BottomLayer"
"C35","C_0603(1608)100_L","78.6500","78.6500","21.7000","21.7000","77.9500","21.7000","0","100nF","BottomLayer"
"C34","C_0603(1608)100_L","78.6500","78.6500","20.4000","20.4000","77.9500","20.4000","0","10nF","BottomLayer"
"C32","C_0603(1608)100_L","53.6500","53.6500","21.7000","21.7000","54.3500","21.7000","180","100nF","BottomLayer"
"C31","C_0603(1608)100_L","53.6500","53.6500","20.4000","20.4000","54.3500","20.4000","180","10nF","BottomLayer"
"C29","C_0603(1608)100_L","52.6000","52.6000","14.1000","14.1000","51.9000","14.1000","0","100nF","BottomLayer"
"C28","C_0603(1608)100_L","52.6000","52.6000","12.9000","12.9000","51.9000","12.9000","0","10nF","BottomLayer"
"C26","C_0603(1608)100_L","27.4000","27.4000","14.1000","14.1000","28.1000","14.1000","180","100nF","BottomLayer"
"C25","C_0603(1608)100_L","27.4000","27.4000","12.9000","12.9000","28.1000","12.9000","180","10nF","BottomLayer"
"C18","C_0603(1608)100_L","12.9900","12.9900","67.4600","67.4600","12.9900","66.7600","90","100nF","BottomLayer"
"C16","C_0603(1608)100_L","53.0000","53.0000","8.1000","8.1000","53.0000","8.8000","270","16pF","BottomLayer"
"C15","C_0603(1608)100_L","56.5000","56.5000","11.1080","11.1080","57.2000","11.1080","180","16pF","BottomLayer"
"C14","C_0603(1608)100_L","56.3000","56.3000","31.5000","31.5000","56.3000","30.8000","90","100nF","TopLayer"
"C13","C_0603(1608)100_L","25.0000","25.0000","83.3000","83.3000","24.3000","83.3000","0","100nF","BottomLayer"
"C11","C_0603(1608)100_L","27.4000","27.4000","83.3000","83.3000","28.1000","83.3000","180","100nF","BottomLayer"
"C8","C_0603(1608)100_L","31.4000","31.4000","38.2000","38.2000","30.7000","38.2000","0","100nF","TopLayer"
"C7","C_0603(1608)100_L","10.1250","10.1250","37.8000","37.8000","9.4250","37.8000","0","100nF","TopLayer"
"C10B","C_0603(1608)100_L","32.1000","32.1000","24.0000","24.0001","32.1000","23.3001","90","100nF","TopLayer"
